subject,task,surz_mean_H,surz_mean_D,surz_mean_lambda,surz_multilevel,surz_pivot_rate,surz_tree_span_events,surz_tree_span_time
sub-48,sternberg,0.7401139302608999,0.20515114056875633,0.36088706879712734,-0.3409245858347955,1.1387858673746938,0.2414471706829651,-0.569100771282826
sub-49,msit,1.5636010915206517,0.8296134983906428,0.8584576847159382,0.8910452034896612,-0.5764914189315604,-1.6245491713870093,-1.7798682562886485
sub-49,sternberg,-0.5787256297260202,-0.09936259034000419,-0.3782258890686073,0.2791946610918417,-0.22733660778025763,-0.5984731196350047,-1.0000170625138358
sub-53,msit,-0.8540187535139941,-0.8541153399574015,-0.2336792555084157,-0.22242589464532636,1.4790885322700162,0.07694375060756481,-0.04736037639932522
sub-53,sternberg,-0.041972602673191695,-0.2861085764614849,0.13330431202504955,0.25083226416532833,0.6893034564643922,-0.32208347532437714,-0.5763490258357173
sub-54,msit,0.3463725801488212,0.32877453261591283,0.21646883802080916,0.27023760353206194,1.2668500012342743,-0.003061402623673992,0.04162172853009538
sub-54,sternberg,-0.06691495712413839,-0.21004953784339994,0.06294648938718439,-0.16852968563453785,-0.682413643155998,0.1655711864370803,0.37067046170311146
sub-55,msit,0.45897821585196924,-0.32260523815886333,0.6320644637739721,0.044166894346671426,0.2980496390055381,1.259723489138979,0.8347314830870454
sub-55,sternberg,-1.46504928761664,0.8064739956682161,-1.4079965128662517,0.15637264262365097,0.9271113095031034,-0.5889523772680534,-0.7571770478673422
sub-56,msit,0.06956272750533421,-0.6166186087049984,0.3776241378767513,-0.15162285342382026,0.53644372218493,-0.6322272451867782,-0.3141125148649559
sub-56,sternberg,0.08036816357338072,-0.3671799902616969,0.14535314156958395,0.04704144702188062,0.0316000986365559,-0.7281404141742098,-1.0936055920250234
sub-57,msit,1.0145543351013804,-0.5941676767581429,1.2748923870811517,-0.6327408701636279,-1.5078602484486479,-0.8380601686380547,-1.4171266861163336
sub-57,sternberg,-0.28468012345708327,0.9579433251637639,-0.4820246443632394,0.6816895125837338,-0.026753835639594548,0.009749917241019604,0.09726890247801806
sub-59,msit,0.9380632250390348,-0.60567860916135,1.258023686578259,-1.219085324708707,0.039786692894467096,-2.6183624783324957,-2.5085913319340616
sub-59,sternberg,0.22164428765733613,0.1309386706205046,-0.04349324895704182,-0.02423773790365724,-0.15082511980786073,-0.9249418632928599,-0.5747026337765542
sub-62,msit,-0.39588983971491154,-0.25745723718298896,-0.11004947645173971,0.6375848501565795,1.386026235856549,0.7827446641280028,-0.0056325089368758074
sub-62,sternberg,0.646657487400892,1.0784541768108313,0.014194057568400656,0.8453718745656301,-0.06903769588283903,0.517804985476279,0.6237966102769557
sub-63,msit,0.23509918250897377,1.4292876812834177,-0.6108924827078691,1.1109808120324742,-0.07417827498666885,-0.6512937283576343,-1.5275917475066403
sub-63,sternberg,-1.135587861545622,1.021653411763616,-1.3439970711630629,1.6297050478724653,0.39641709408022185,0.430159240295965,-0.004971743929574279
