subject,surz_mean_H,surz_mean_D,surz_mean_lambda,surz_multilevel,surz_pivot_rate,surz_tree_span_events,surz_tree_span_time
sub-0059,-0.31066368316997556,-0.03377119395178616,-0.19427019596219805,0.17644133258676595,0.09345950152830734,-0.37034569343470647,-0.25164350953493336
sub-0060,0.7774218917702943,-0.03828908238456686,0.7214751847155948,-0.18775425170416615,-0.8181250783581251,-0.1377274387327244,-0.10921323131093526
sub-0061,-0.1040306250000151,0.15457405277619138,-0.1355333762756363,-0.33151602382497386,-1.2543128122569205,-0.8566817665557549,-1.142098131999073
sub-0062,-0.5177147092101791,0.10442731129555716,-0.4632134390284297,-0.47246044230433837,0.609060141110669,-0.1886671720624519,-0.17303652863198057
sub-0064,0.24335888302363942,-1.0634494270023152,0.665533367278948,-0.9509439389808532,0.08645655863441103,0.5055971797398197,0.2519762451317991
sub-0065,-0.835884480780782,0.4376131317895317,-0.8445893997348648,0.7602655964448619,-0.7910355927443868,0.787517020247566,0.8681130476437215
sub-0066,-1.2163793777778753,-0.36256681711441135,-0.8998050878786902,-0.41208265615201606,0.27845192361763316,0.1446504491224901,0.09973243905475336
sub-0069,-0.9755390837353494,-0.4539605616014856,-0.45141300757485253,-0.27589302350820905,0.38148824598607134,-0.6035797906554481,-0.5761826792525563
sub-0070,-0.055046885533802103,0.25070510571629684,-0.09324091104248851,0.11351261101117764,-0.6173496171752518,-0.6658739392511158,-0.8671157018400862
sub-0073,0.5203100309502734,-0.5604600410563796,0.7009823714126884,-0.6423873672247297,0.3638110893944391,-0.20599589589649545,-0.44742982539329407
sub-0074,0.10804894646988206,0.05499498652204186,0.0659356667459317,-0.20867239561984988,-0.1432448769283028,-0.17722981450332007,-0.1568454616238426
sub-0075,-0.8545789105425877,-0.6103207455664971,-0.5525932871526006,-0.10562709777084474,-0.662285394542882,-0.321666178719074,-0.4087711428503869
sub-0076,0.21442427029739208,0.4742716096713393,0.0049662664633813485,-0.1157072847107153,-0.10672560063324914,0.7587265658900435,0.30694763811685843
sub-0077,0.48283677507481265,-0.3479764781626131,0.51807066213426,-0.044676939379404014,0.23820482575248295,-0.024462746299941218,-0.22756523901959932
sub-0078,0.6366147142487998,0.22221703482214641,0.5145072432581553,-0.5234362278120817,0.668372886457479,0.6630616146126996,0.4101626745545004
sub-0079,0.5178073226733716,0.37696979864226193,0.28323496199827763,-0.29916969059261705,-0.30650399978495363,0.728797411834301,0.5023171904184257
sub-0080,0.8163735436270084,-1.0147607255937492,1.09210233550582,-1.2865365143462886,-1.2396258827783215,-0.8432188593784998,-1.0949946228955623
