condition,frontend,feature,clinical,n,rho,p,q_global
rest,theta_global,occ_L11,td_score,113,0.009007932022441663,0.92455878155033,0.9971683422099584
rest,theta_global,occ_L11,ctt,109,0.02731481244951643,0.7779896073727399,0.9930135882425856
rest,alpha_global,mean_H,updrs_part_iii,113,0.12432219177470753,0.18953187368977611,0.9534301174509907
rest,alpha_global,mean_H,updrs_total,113,0.1314198461008702,0.16528781201453352,0.9534301174509907
rest,alpha_global,mean_H,moca,113,0.0133918956526131,0.8880427328998978,0.9958760007869497
rest,alpha_global,mean_H,disease_duration,116,0.08956937247464647,0.3389873834708908,0.9930135882425856
rest,alpha_global,mean_H,ledd,115,0.07587355865106189,0.42028477171586665,0.9930135882425856
rest,alpha_global,mean_H,pigd_score,113,0.11768440181005912,0.21445367049161132,0.9534301174509907
rest,alpha_global,mean_H,td_score,113,0.07098995984292346,0.4549509848598383,0.9930135882425856
rest,alpha_global,mean_H,ctt,109,0.16063890037536688,0.09518888669647763,0.9534301174509907
rest,alpha_global,sd_H,updrs_part_iii,113,-0.03325143300106217,0.7266132336620607,0.9930135882425856
rest,alpha_global,sd_H,updrs_total,113,-0.08361345561809247,0.37859725485613677,0.9930135882425856
rest,alpha_global,sd_H,moca,113,0.017331611202253978,0.8554236100209542,0.9930135882425856
rest,alpha_global,sd_H,disease_duration,116,-0.005330955670920523,0.9547086956064863,0.9971683422099584
rest,alpha_global,sd_H,ledd,115,-0.016577751708165868,0.8604144824255371,0.9930135882425856
rest,alpha_global,sd_H,pigd_score,113,-0.05128036225717361,0.5896027013239842,0.9930135882425856
rest,alpha_global,sd_H,td_score,113,-0.02743451608369353,0.773006402064251,0.9930135882425856
rest,alpha_global,sd_H,ctt,109,-0.14508972532158176,0.1322483084301676,0.9534301174509907
rest,alpha_global,mean_D,updrs_part_iii,113,0.06847911920076633,0.4710966327780255,0.9930135882425856
rest,alpha_global,mean_D,updrs_total,113,0.01289783106461827,0.8921477654972562,0.9958760007869497
rest,alpha_global,mean_D,moca,113,0.018868019068561608,0.8427654633954261,0.9930135882425856
rest,alpha_global,mean_D,disease_duration,116,-0.042745897696098246,0.6486705142278372,0.9930135882425856
rest,alpha_global,mean_D,ledd,115,-0.032112416484094526,0.7333345458676104,0.9930135882425856
rest,alpha_global,mean_D,pigd_score,113,0.07310332761978297,0.44160301428554505,0.9930135882425856
rest,alpha_global,mean_D,td_score,113,0.01832840106621803,0.8472068738998939,0.9930135882425856
