modality,condition,feature,n,mean_change,t,p,paired_dz,q_fdr
eeg,late_abrupt,multilevel,30,0.0013888888888888887,0.4411698907260347,0.6623617732700398,0.08054623361424612,0.9587963561008681
eeg,late_abrupt,pivot_rate,30,0.01666666666666667,1.1845783243211963,0.2458019870033873,0.2162734231207966,0.9587963561008681
eeg,late_abrupt,compound_pivot_fraction,30,-0.019365079365079363,-0.35792588989735075,0.7229909069569537,-0.06534802793729648,0.9587963561008681
eeg,late_abrupt,pivot_depth,30,0.03312169312169314,0.20230543697764053,0.8410905295519414,0.03693575044619783,1.0
eeg,late_abrupt,tree_span_events,30,-0.06797791580400278,-1.0656736489571053,0.29536363316207254,-0.19456449882421614,0.9587963561008681
eeg,late_abrupt,tree_span_time,30,-0.02398248547195558,-1.1341550006442098,0.2660180566005187,-0.2070674258533733,0.9587963561008681
eeg,late_abrupt,tree_root_fraction,30,-0.002777777777777777,-0.3195507409729133,0.751599623431432,-0.058341716366118325,0.9587963561008681
eeg,late_abrupt,tree_ascending_fraction,30,-0.008061986322855881,-0.35794574225352843,0.7229762077968181,-0.06535165246506253,0.9587963561008681
eeg,late_abrupt,occ_L1,30,0.0,,,,
eeg,late_abrupt,occ_L2,30,0.0013888888888888887,0.9999999999999999,0.3255819880161937,0.18257418583505536,0.9587963561008681
eeg,late_abrupt,occ_L3,30,0.004166666666666667,1.139520716216501,0.2638111224365679,0.20804706700540687,0.9587963561008681
eeg,late_abrupt,occ_L4,30,0.004166666666666667,0.8276710518549868,0.4146161940416227,0.1511113684316681,0.9587963561008681
eeg,late_abrupt,occ_L5,30,-0.005555555555555555,-0.8118441408859886,0.4234950884933465,-0.14822178304721934,0.9587963561008681
eeg,late_abrupt,occ_L6,30,-0.004166666666666666,-0.3917131009286687,0.6981339170414459,-0.07151670048297655,0.9587963561008681
eeg,late_abrupt,occ_L7,30,-0.008333333333333331,-0.6731456008918129,0.5061840805158234,-0.12289901003127184,0.9587963561008681
eeg,late_abrupt,occ_L8,30,-0.018055555555555557,-1.0985652481900672,0.28099502313984914,-0.20056965577498703,0.9587963561008681
eeg,late_abrupt,occ_L9,30,-0.01805555555555555,-0.9387844853938435,0.35559519092075204,-0.17139781309536245,0.9587963561008681
eeg,late_abrupt,occ_L10,30,0.04444444444444444,2.6414851142913056,0.01316073077115876,0.4822669941371534,0.4123695641629745
eeg,late_abrupt,occ_L11,30,0.0013888888888888918,0.12591925519936095,0.9006647757394024,0.02298960549897989,1.0
eeg,late_abrupt,occ_L12,30,0.0,,,,
eeg,early_gradual,mean_H,30,0.0708333333333333,0.9372403389139505,0.3563753360177777,0.1711158918089859,0.9587963561008681
eeg,early_gradual,sd_H,30,0.027815284001262156,0.40667690083517605,0.6872311624003447,0.07424870406790582,0.9587963561008681
eeg,early_gradual,mean_D,30,-7.401486830834377e-18,-1.6568753574632961e-15,0.9999999999999987,-3.0250266941902766e-16,1.0
eeg,early_gradual,sd_D,30,0.0,0.0,1.0,0.0,1.0
eeg,early_gradual,mean_lambda,30,0.07083333333333336,0.9297987244108077,0.3601509491554522,0.16975724509977624,0.9587963561008681
eeg,early_gradual,sd_lambda,30,0.03157075537333202,0.4330247244945847,0.668200513750525,0.07905913652104797,0.9587963561008681
eeg,early_gradual,multilevel,30,-0.0013888888888888887,-0.5708263279047433,0.5725145639415322,-0.10421815207042286,0.9587963561008681
eeg,early_gradual,pivot_rate,30,-0.0013888888888888896,-0.11206939630678164,0.9115405133817037,-0.02046097878773682,1.0
eeg,early_gradual,compound_pivot_fraction,30,-0.02388888888888889,-0.3861287850447511,0.7022197112926796,-0.07049714855702455,0.9587963561008681
eeg,early_gradual,pivot_depth,30,0.05543650793650792,0.34521705546907877,0.7324226845211701,0.0630277228386422,0.9587963561008681
eeg,early_gradual,tree_span_events,30,0.007367777150385857,0.11199618820720744,0.9115980490490362,0.02044761287856053,1.0
eeg,early_gradual,tree_span_time,30,9.93668733138812e-05,0.00463077231509826,0.9963369005718088,0.0008454594852165793,1.0
eeg,early_gradual,tree_root_fraction,30,-0.004166666666666665,-0.5007199427774977,0.6203474775956459,-0.09141853588397716,0.9587963561008681
eeg,early_gradual,tree_ascending_fraction,30,-0.01608977978543196,-0.5653432646234908,0.57618845162934,-0.1032170862559661,0.9587963561008681
eeg,early_gradual,occ_L1,30,0.0,,,,
eeg,early_gradual,occ_L2,30,0.0013888888888888887,0.9999999999999999,0.3255819880161937,0.18257418583505536,0.9587963561008681
eeg,early_gradual,occ_L3,30,0.0027777777777777775,0.9999999999999997,0.32558198801619387,0.18257418583505533,0.9587963561008681
eeg,early_gradual,occ_L4,30,0.0,0.0,1.0,0.0,1.0
eeg,early_gradual,occ_L5,30,0.004166666666666667,0.500719942777498,0.6203474775956457,0.0914185358839772,0.9587963561008681
eeg,early_gradual,occ_L6,30,-0.00972222222222222,-0.8932336576783437,0.3790850019090175,-0.16308140781109218,0.9587963561008681
eeg,early_gradual,occ_L7,30,-0.008333333333333331,-0.6190798913664317,0.5406969736336901,-0.1130280071330808,0.9587963561008681
eeg,early_gradual,occ_L8,30,-0.005555555555555555,-0.30390243154356156,0.7633721085710173,-0.05548473901235941,0.9587963561008681
eeg,early_gradual,occ_L9,30,-0.029166666666666667,-1.1721057015904899,0.2506940172787008,-0.21399624418051003,0.9587963561008681
eeg,early_gradual,occ_L10,30,0.03472222222222222,1.6717988317519963,0.10532163229964443,0.3052273105871175,0.9587963561008681
eeg,early_gradual,occ_L11,30,0.009722222222222224,0.8263442298222333,0.4153560650048208,0.15086912497929017,0.9587963561008681
eeg,early_gradual,occ_L12,30,0.0,,,,
eeg,late_gradual,mean_H,30,-0.013888888888888928,-0.18198941228948745,0.8568571938090184,-0.03322656877935339,1.0
eeg,late_gradual,sd_H,30,0.06210745299772944,0.7661298093284744,0.44979055991449457,0.1398755261821124,0.9587963561008681
eeg,late_gradual,mean_D,30,-0.0027777777777777753,-0.7010887416930984,0.48883556981941595,-0.1280007062127409,0.9587963561008681
eeg,late_gradual,sd_D,30,-0.013608276348795434,-0.7010887416930995,0.4888355698194153,-0.1280007062127411,0.9587963561008681
eeg,late_gradual,mean_lambda,30,-0.01111111111111119,-0.14317867349560381,0.8871393114519265,-0.02614072974240308,1.0
eeg,late_gradual,sd_lambda,30,0.055989146197334604,0.666922486199699,0.5100936419455966,0.12176282993300101,0.9587963561008681
eeg,late_gradual,multilevel,30,-0.0013888888888888887,-0.4411698907260348,0.6623617732700398,-0.08054623361424613,0.9587963561008681
eeg,late_gradual,pivot_rate,30,0.011111111111111108,0.795080240325376,0.433026283619319,0.1451611275509457,0.9587963561008681
eeg,late_gradual,compound_pivot_fraction,30,0.02797619047619047,0.46881324908351535,0.6427083344982109,0.08559319726010985,0.9587963561008681
eeg,late_gradual,pivot_depth,30,0.11853174603174606,0.741675106649517,0.4642487686938614,0.13541072875066343,0.9587963561008681
eeg,late_gradual,tree_span_events,30,0.024322103017755222,0.34230080921012124,0.7345930341704443,0.0624952915522185,0.9587963561008681
eeg,late_gradual,tree_span_time,30,-0.00045398790898112387,-0.018889779729852077,0.9850584015562445,-0.0034487861547812756,1.0
eeg,late_gradual,tree_root_fraction,30,0.013888888888888888,1.8363259577906677,0.0765808745715114,0.3352657166714094,0.9587963561008681
eeg,late_gradual,tree_ascending_fraction,30,8.720747851182487e-05,0.0028481442322900842,0.9977470152318907,0.000519997614351171,1.0
eeg,late_gradual,occ_L1,30,0.0,,,,
eeg,late_gradual,occ_L2,30,0.0,,,,
eeg,late_gradual,occ_L3,30,0.0,0.0,1.0,0.0,1.0
