frontend,condition,change,feature,n,rho,p,q_global
theta_global,early_abrupt,True,occ_L7,30,0.056724457206626736,0.7659088033394902,0.9982245823548548
theta_global,early_abrupt,True,occ_L8,30,0.12359555160228143,0.5152416012997085,0.9982245823548548
theta_global,early_abrupt,True,occ_L9,30,0.024601387167063168,0.8973252037161557,0.9982245823548548
theta_global,early_abrupt,True,occ_L10,30,0.09283565096819436,0.6255982813938449,0.9982245823548548
theta_global,early_abrupt,True,occ_L11,30,0.017746728591214785,0.9258402708610519,0.9982245823548548
theta_global,late_abrupt,True,mean_H,30,-0.1129553309893477,0.5523113548701283,0.9982245823548548
theta_global,late_abrupt,True,sd_H,30,-0.07363737486095662,0.6989663216022933,0.9982245823548548
theta_global,late_abrupt,True,mean_D,30,0.016991928626911405,0.9289863548214717,0.9982245823548548
theta_global,late_abrupt,True,sd_D,30,0.003009787187026744,0.9874060776286866,1.0
theta_global,late_abrupt,True,mean_lambda,30,-0.09677779557990278,0.6109295305967156,0.9982245823548548
theta_global,late_abrupt,True,sd_lambda,30,-0.02202447163515017,0.908032259576345,0.9982245823548548
theta_global,late_abrupt,True,multilevel,30,-0.026982207202222754,0.8874485628117501,0.9982245823548548
theta_global,late_abrupt,True,pivot_rate,30,-0.058824145756670124,0.7574964273454577,0.9982245823548548
theta_global,late_abrupt,True,compound_pivot_fraction,30,0.11130939380205446,0.5581540846093554,0.9982245823548548
theta_global,late_abrupt,True,pivot_depth,30,-0.01736227313906819,0.9274425867405046,0.9982245823548548
theta_global,late_abrupt,True,tree_span_events,30,0.11946607341490545,0.5294820243344484,0.9982245823548548
theta_global,late_abrupt,True,tree_span_time,30,0.04471635150166852,0.8144946781880171,0.9982245823548548
theta_global,late_abrupt,True,tree_root_fraction,30,-0.20592742498629812,0.27494840458385145,0.9982245823548548
theta_global,late_abrupt,True,tree_ascending_fraction,30,-0.024922118997067526,0.8959937639752188,0.9982245823548548
theta_global,late_abrupt,True,occ_L2,30,0.13181859647311672,0.4874561166106519,0.9982245823548548
theta_global,late_abrupt,True,occ_L3,30,0.0684148867861663,0.7194286355456512,0.9982245823548548
theta_global,late_abrupt,True,occ_L4,30,-0.0568937288950313,0.7652296364733443,0.9982245823548548
theta_global,late_abrupt,True,occ_L5,30,-0.0401203712574173,0.8332810585753049,0.9982245823548548
theta_global,late_abrupt,True,occ_L6,30,-0.163389319471796,0.3882956299453495,0.9982245823548548
theta_global,late_abrupt,True,occ_L7,30,0.11700825098211205,0.538046585870543,0.9982245823548548
theta_global,late_abrupt,True,occ_L8,30,0.024556355576092793,0.8975121633148828,0.9982245823548548
theta_global,late_abrupt,True,occ_L9,30,0.12396626926719102,0.5139724534884315,0.9982245823548548
theta_global,late_abrupt,True,occ_L10,30,-0.19805091783885584,0.2941261695466329,0.9982245823548548
theta_global,late_abrupt,True,occ_L11,30,0.12222914859909217,0.5199327113320927,0.9982245823548548
theta_global,early_gradual,True,mean_H,30,0.1269807870573383,0.5037096827729547,0.9982245823548548
theta_global,early_gradual,True,sd_H,30,-0.020689655172413793,0.9135847422192583,0.9982245823548548
theta_global,early_gradual,True,mean_D,30,0.08495790859688186,0.65533041509885,0.9982245823548548
theta_global,early_gradual,True,sd_D,30,0.0945051529896154,0.6193685078010527,0.9982245823548548
theta_global,early_gradual,True,mean_lambda,30,0.11526896734260834,0.5441467503400861,0.9982245823548548
theta_global,early_gradual,True,sd_lambda,30,-0.047385984427141266,0.8036278011377227,0.9982245823548548
theta_global,early_gradual,True,multilevel,30,0.08069115748223235,0.6716560131240986,0.9982245823548548
theta_global,early_gradual,True,pivot_rate,30,-0.08048509105539435,0.6724482652014245,0.9982245823548548
