subject,condition,frontend,mean_H,sd_H,mean_D,sd_D,mean_lambda,sd_lambda,multilevel,pivot_rate,compound_pivot_fraction,pivot_depth,tree_span_events,tree_span_time,tree_root_fraction,tree_ascending_fraction,occ_L1,occ_L2,occ_L3,occ_L4,occ_L5,occ_L6,occ_L7,occ_L8,occ_L9,occ_L10,occ_L11,occ_L12
S25,late_abrupt,beta_global,9.375,1.438976085247091,1.0,0.0,9.375,1.438976085247091,0.0,0.125,0.6666666666666666,3.0,1.8181818181818181,0.6038707386363636,0.08333333333333333,0.36363636363636365,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.08333333333333333,0.20833333333333334,0.5,0.125,0.0
S25,late_abrupt,mu_central,9.291666666666666,1.545798419465872,1.0416666666666667,0.2041241452319315,9.25,1.6484511834894675,0.041666666666666664,0.2916666666666667,0.5714285714285714,2.2857142857142856,2.6363636363636362,0.8892045454545454,0.08333333333333333,0.6363636363636364,0.0,0.0,0.0,0.0,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.20833333333333334,0.4166666666666667,0.16666666666666666,0.0
S25,late_abrupt,beta_central,9.208333333333334,1.141287094417552,1.0,0.0,9.208333333333334,1.141287094417552,0.0,0.25,0.6666666666666666,1.8333333333333333,1.5714285714285714,0.5111607142857143,0.125,0.38095238095238093,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.125,0.2916666666666667,0.4583333333333333,0.041666666666666664,0.0
S25,early_gradual,gait,8.916666666666666,1.1764599317505433,1.0,0.0,8.916666666666666,1.1764599317505433,0.0,0.16666666666666666,0.75,2.0,2.1818181818181817,0.7150213068181818,0.08333333333333333,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.25,0.2916666666666667,0.25,0.08333333333333333,0.0
S25,early_gradual,theta_global,9.291666666666666,1.5174110293140939,1.0,0.0,9.291666666666666,1.5174110293140939,0.0,0.20833333333333334,0.6,2.0,2.05,0.639453125,0.16666666666666666,0.5,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.08333333333333333,0.125,0.20833333333333334,0.3333333333333333,0.20833333333333334,0.0
S25,early_gradual,alpha_global,9.166666666666666,1.403928236326068,1.0416666666666667,0.2041241452319315,9.125,1.541103500742244,0.041666666666666664,0.20833333333333334,0.8,2.6,1.5238095238095237,0.5204613095238095,0.125,0.5714285714285714,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.16666666666666666,0.3333333333333333,0.25,0.16666666666666666,0.0
S25,early_gradual,beta_global,9.208333333333334,1.141287094417552,1.0,0.0,9.208333333333334,1.141287094417552,0.0,0.20833333333333334,0.6,2.4,1.8636363636363635,0.6361860795454546,0.08333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.08333333333333333,0.3333333333333333,0.375,0.08333333333333333,0.0
S25,early_gradual,mu_central,9.291666666666666,1.3666578295932035,1.0,0.0,9.291666666666666,1.3666578295932035,0.0,0.16666666666666666,0.75,2.5,1.55,0.53359375,0.16666666666666666,0.45,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.25,0.20833333333333334,0.0
S25,early_gradual,beta_central,9.083333333333334,1.3805061033726997,1.0,0.0,9.083333333333334,1.3805061033726997,0.0,0.2916666666666667,0.42857142857142855,2.142857142857143,1.8095238095238095,0.5941220238095238,0.125,0.6190476190476191,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.041666666666666664,0.125,0.3333333333333333,0.2916666666666667,0.125,0.0
S25,late_gradual,gait,8.875,1.3613452426057167,1.0,0.0,8.875,1.3613452426057167,0.0,0.25,1.0,2.6666666666666665,1.6,0.5404296875,0.16666666666666666,0.55,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.125,0.375,0.25,0.08333333333333333,0.0
